category,site,accuracy,precision,recall,f1
job,careerbuilder,0.3407821210012172,0.4236111081693673,0.6354166600477431,0.5083328490976753
job,dice,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
job,hotjobs,0.4313725469050365,0.6666666616161616,0.5499999965625,0.6027392264969356
job,job,0.8198757713051195,0.9999999924242425,0.8198757713051195,0.9010233895330564
job,jobcircle,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
job,jobtarget,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
job,monster,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
job,nettemps,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
job,rightitjobs,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
job,techcentric,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
movie,allmovie,0.10925196839640554,0.11280487793414139,0.776223770795638,0.1969829191620027
movie,amctv,0.5889570516014905,0.7384615327810652,0.7441860407427439,0.7413122355961097
movie,boxofficemojo,0.33150684840683053,0.3379888258715396,0.9453124926147461,0.4979419967656997
movie,hollywood,0.7040816290608081,0.8414634095032719,0.8117647011072665,0.8263468006026905
movie,iheartmovies,0.9999999941520469,0.9999999941520469,0.9999999941520469,0.9999994941522968
movie,imdb,0.9960474268930932,0.999999996031746,0.9960474268930932,0.9980192980298555
movie,metacritic,0.9999999921259843,0.9999999921259843,0.9999999921259843,0.9999994921262343
movie,msn,0.9383561579564647,0.99999999270073,0.9383561579564647,0.9681973735222147
movie,rottentomatoes,0.8476190435827665,0.9999999943820225,0.8476190435827665,0.9175252718676299
movie,yahoo,0.9999999924812031,0.9999999924812031,0.9999999924812031,0.999999492481453
nbaplayer,espn,0.7901234519128182,0.7901234519128182,0.9999999921875001,0.8827581214747108
nbaplayer,fanhouse,0.9624060078014586,0.9999999921875001,0.9624060078014586,0.9808424045451088
nbaplayer,foxsports,0.6357615851936319,0.8067226822964481,0.749999994140625,0.777327429592676
nbaplayer,msnca,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
nbaplayer,nba,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
nbaplayer,si,0.59999999625,0.749999994140625,0.749999994140625,0.7499994941409583
nbaplayer,slam,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
nbaplayer,usatoday,0.749999994140625,0.9999999895833335,0.749999994140625,0.8571423596941573
nbaplayer,wiki,0.1532258062044745,0.1687388984569469,0.6249999958881579,0.2657339302033648
nbaplayer,yahoo,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
restaurant,fodors,0.9999999922480621,0.9999999922480621,0.9999999922480621,0.9999994922483122
restaurant,frommers,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
restaurant,gayot,0.6983471045522847,0.9999999940828402,0.6983471045522847,0.8223839399959042
restaurant,opentable,0.99999999378882,0.99999999378882,0.99999999378882,0.9999994937890698
restaurant,pickarestaurant,0.7950310509625401,0.9922480543236585,0.7999999950000001,0.8858126484120525
restaurant,restaurantica,0.621212118859045,0.9761904703798187,0.6307692283431953,0.7663546597085681
restaurant,tripadvisor,0.49407114429220894,0.9999999920000001,0.49407114429220894,0.6613752152098363
restaurant,urbanspoon,0.9755102000999584,0.9999999958158996,0.9755102000999584,0.9876028017812106
restaurant,usdiners,0.3367875630218261,0.6701030858752259,0.40372670556691487,0.5038754958540511
restaurant,zagat,0.9999999947368422,0.9999999947368422,0.9999999947368422,0.9999994947370923
university,collegeboard,0.6550632890662554,0.6613418509222305,0.9857142810204081,0.7915865144539694
university,collegenavigator,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
university,collegeprowler,0.99999999375,0.99999999375,0.99999999375,0.99999949375025
university,collegetoolkit,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
university,ecampustours,0.59999999625,0.749999994140625,0.749999994140625,0.7499994941409583
university,embark,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
university,matchcollege,0.927536225162781,0.9999999921875001,0.927536225162781,0.9624055085083715
university,princetonreview,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
university,studentaid,0.21317157675360213,0.24501991983063762,0.6212121180746862,0.3514281647269984
university,usnews,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
overall,overall,0.5793346128929764,0.6422745004940138,0.8553211586228494,0.7336434233773004
