category,site,accuracy,precision,recall,f1
job,dice,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
job,hotjobs,0.03109383674009226,0.03299941070536275,0.3499999978125,0.06031217417958489
job,job,0.50999999745,0.7183098540964095,0.637499996015625,0.6754961860448393
job,jobcircle,0.749999994140625,0.9999999895833335,0.749999994140625,0.8571423596941573
job,jobtarget,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
job,monster,0.31372548917083176,0.31372548917083176,0.9999999895833335,0.4776115743672466
job,nettemps,0.8984374929809571,0.9999999913043479,0.8984374929809571,0.9465015512543059
job,rightitjobs,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
job,techcentric,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
movie,allmovie,0.07703383723755662,0.07943578316300239,0.7181208005495249,0.14304794879326213
movie,amctv,0.5889570516014905,0.7384615327810652,0.7441860407427439,0.7413122355961097
movie,boxofficemojo,0.28676470517949826,0.294710326713576,0.9140624928588867,0.4457139152837508
movie,hollywood,0.14179719691525375,0.1456392886150387,0.8431372507689351,0.248375199710402
movie,iheartmovies,0.7276595713716614,0.7276595713716614,0.9999999941520469,0.8423640402948779
movie,imdb,0.9999999945054946,0.9999999945054946,0.9999999945054946,0.9999994945057447
movie,metacritic,0.7480314901729804,0.9999999894736844,0.7480314901729804,0.85585535853449
movie,msn,0.999999993150685,0.999999993150685,0.999999993150685,0.999999493150935
movie,rottentomatoes,0.8476190435827665,0.9999999943820225,0.8476190435827665,0.9175252718676299
movie,yahoo,0.9999999924812031,0.9999999924812031,0.9999999924812031,0.999999492481453
nbaplayer,espn,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
nbaplayer,fanhouse,0.12307692284023669,0.1419068732995413,0.4812030039007293,0.21917772969304802
nbaplayer,foxsports,0.6357615851936319,0.8067226822964481,0.749999994140625,0.777327429592676
nbaplayer,msnca,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
nbaplayer,nba,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
nbaplayer,si,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
nbaplayer,slam,0.450704223765126,0.450704223765126,0.9999999921875001,0.6213587919693776
nbaplayer,usatoday,0.4324324304845386,0.5052631552354571,0.749999994140625,0.6037731001150937
nbaplayer,wiki,0.2891566256350704,0.31999999893333336,0.749999994140625,0.4485977094946701
nbaplayer,yahoo,0.749999994140625,0.9999999895833335,0.749999994140625,0.8571423596941573
restaurant,fodors,0.06792717082077929,0.06948424063790527,0.7519379786671475,0.12721295971811292
restaurant,frommers,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
restaurant,gayot,0.324324323228634,0.6399999957333333,0.39669421323680076,0.4897954434094517
restaurant,opentable,0.034707158332588306,0.03663423008778807,0.39751552548127006,0.0670857992858309
restaurant,pickarestaurant,0.0769230768306213,0.08695652162098298,0.39999999750000004,0.1428568491715199
restaurant,restaurantica,0.5689655147889418,0.9705882281574395,0.5789473658818098,0.7252742532305879
restaurant,tripadvisor,0.5614035068020929,0.99999999375,0.5614035068020929,0.7191006598159744
restaurant,urbanspoon,0.6642599253997836,0.8518518479080933,0.7510204050978759,0.7982641405981812
restaurant,usdiners,0.3367875630218261,0.6701030858752259,0.40372670556691487,0.5038754958540511
restaurant,zagat,0.9999999947368422,0.9999999947368422,0.9999999947368422,0.9999994947370923
university,collegeboard,0.5646687679347988,0.5682539664499874,0.9889502707792803,0.721773727131866
university,collegenavigator,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
university,collegeprowler,0.99999999375,0.99999999375,0.99999999375,0.99999949375025
university,collegetoolkit,0.827586199762188,0.827586199762188,0.9999999895833335,0.9056598732647781
university,ecampustours,0.0,0.0,0.0,0.0
university,embark,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
university,matchcollege,0.6994535480904178,0.7398843887867954,0.927536225162781,0.8231506264412964
university,princetonreview,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
university,studentaid,0.26401446606868995,0.29141716508699167,0.7373737336496277,0.4177392207960946
university,usnews,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
overall,overall,0.37456915928463325,0.4151648534002506,0.7929885786173073,0.5449981861010017
